City,Hotel,Location,Distance,Room Type,Check-in,Sharing,Quad,Triple,Double
Makkah,AJWA ZIAFA / SIMILAR,Azizia,Shuttle Service,Sharing,15-Jun,14,16,20,28
Makkah,QILA AJYAD,Main Ajyad Road,1000 M (Comp. Shuttle),Sharing,26-Jun,19,21,27,38
Makkah,DYAR MATAR,"Ibrahim Khalil Road, Misfillah",1200 M,Sharing,08-Jun,21,25,32,45
Makkah,JADA KHALIL,"Main Ibrahim Khalil Road, Misfillah",1200 M,Sharing,08-Jun,21,25,32,45
Makkah,KISWAH TOWER,Tehseer Street,Shuttle Service,Room Basis,20-Jun,Book Directly with Star Team,,,
Makkah,MULTIQA IBADAT & TARA JAWRAT,"Hijra Road, Misfillah",750–800 M,Sharing,08-Jun,25,30,38,55
Makkah,JAFRIA (MASAR AL AEZ 2),"Hijra Road, Misfillah",550–600 M,Sharing,26-Jun,38,44,57,83
Makkah,SAIF AL MAJD,"Hijra Road, Misfillah",600–650 M,Sharing,01-Jul,40,49,63,93
Makkah,JAWRAT BAIT (ARAFAT ZEHBI),"Main Ibrahim Khalil Road, Misfillah",600 M,Sharing,26-Jun,43,49,63,93
Makkah,BADAR MASA,"Main Ibrahim Khalil Road, Misfillah",600 M,Room Basis,01-Jul,57,70,92,135
Makkah,SWISS KHALIL / BLORA MOAZAN,"Main Ibrahim Khalil Road, Misfillah",350–400 M,Sharing,01-Jul,55,55,72,105
Makkah,EMAR ANDULUSIA,"Main Ibrahim Khalil Road, Misfillah",300 M,Room Basis,01-Jul,N/A,76,100,148
Madinah,KINAN MADINA,"Main Qurban Road, Bilal Masjid",900 M,Sharing,08-Jun,25,30,38,55
Madinah,DAR AJYAL 1,Shumaila Ladies Gate Side,750 M,Sharing,08-Jun,29,35,45,65
Madinah,ABDULLAH FOUZAN (DYAR HIJAZ),"Main Qurban Road, Bilal Masjid Side",600 M,Sharing,08-Jun,35,43,55,80
Madinah,KARAM GOLDEN,"Main Qurban Road, Bilal Masjid Side",550 M,Sharing,01-Jul,41,50,65,95
Madinah,ANSAR PLUS,"Main Qurban Road, Bilal Masjid Side",500 M,Sharing,08-Jun,39,48,62,90
Madinah,WIDYAR AL MADINA / ROU KHAIR,Bab Salam (First Row at the Neck of Markazia),350 M,Sharing,08-Jun,49,55,72,105
Madinah,ROU TAIBA,"Markazia, Behind Masjid Ghamama",100 M,Sharing,01-Jul,60,68,88,130
Madinah,MARKAZIA / SIMILAR,Any Hotel in Markazia,100–250 M,Room Basis,20-Jun,N/A,68,88,130
